t,z(t),v(t),F(t) (added)
0.02,-1.88,0,188
0.04,-1.879248,0.0376,187.9248
0.06,-1.877744,0.07518496,187.7744
0.08,-1.875489,0.1127398,187.549
0.09999999,-1.872484,0.1502496,187.2484
0.12,-1.86873,0.1876993,186.873
0.14,-1.864229,0.2250739,186.4229
0.16,-1.858982,0.2623585,185.8982
0.18,-1.852991,0.2995381,185.2991
0.2,-1.846259,0.3365979,184.6259
0.22,-1.838789,0.3735231,183.8789
0.24,-1.830583,0.4102989,183.0583
0.26,-1.821644,0.4469105,182.1644
0.28,-1.811978,0.4833434,181.1978
0.3,-1.801586,0.519583,180.1586
0.32,-1.790473,0.5556147,179.0473
0.34,-1.778645,0.5914242,177.8645
0.36,-1.766105,0.6269971,176.6105
0.38,-1.752859,0.6623191,175.2859
0.4,-1.738911,0.6973763,173.8911
0.42,-1.724268,0.7321545,172.4268
0.4400001,-1.708935,0.7666399,170.8935
0.4600001,-1.692919,0.8008186,169.2919
0.4800001,-1.676225,0.8346769,167.6225
0.5000001,-1.658861,0.8682014,165.8861
0.52,-1.640834,0.9013786,164.0834
0.54,-1.62215,0.9341953,162.215
0.56,-1.602817,0.9666383,160.2817
0.58,-1.582843,0.9986946,158.2843
0.6,-1.562236,1.030351,156.2236
0.6199999,-1.541004,1.061596,154.1004
0.6399999,-1.519156,1.092416,151.9156
0.6599999,-1.4967,1.122799,149.67
0.6799999,-1.473645,1.152733,147.3645
0.6999999,-1.450001,1.182206,145.0001
0.7199998,-1.425777,1.211206,142.5777
0.7399998,-1.400982,1.239722,140.0983
0.7599998,-1.375628,1.267742,137.5628
0.7799998,-1.349723,1.295254,134.9722
0.7999998,-1.323277,1.322249,132.3277
0.8199998,-1.296303,1.348714,129.6303
0.8399997,-1.26881,1.37464,126.881
0.8599997,-1.24081,1.400017,124.081
0.8799997,-1.212313,1.424833,121.2313
0.8999997,-1.183332,1.449079,118.3332
0.9199997,-1.153877,1.472746,115.3877
0.9399996,-1.12396,1.495823,112.396
0.9599996,-1.093594,1.518302,109.3594
0.9799996,-1.062791,1.540174,106.2791
0.9999996,-1.031562,1.56143,103.1562
1.02,-0.9999212,1.582061,99.99212
1.04,-0.96788,1.60206,96.788
1.06,-0.9354517,1.621417,93.54517
